date;body temperature;cycle phase;Sleep Score;Total Sleep Score;REM Sleep Score;Deep Sleep Score;Sleep Efficiency Score;Restfulness Score;Sleep Latency Score;Sleep Timin Score;Total Sleep Duration;Total Bedtime ;Awake Time;REM Sleep Duration;Light Sleep Duration;Deep Sleep Duration;Restless Sleep;Sleep Efficiency;Sleep Latency;Sleep Timing;Bedtime Start;Bedtime End;Average Resting Heart Rate;Lowest Resting Heart Rate;Average HRV;Temperature Deviation (°C);Temperature Trend Deviation;Respiratory Rate;Activity Score;Stay Active Score;Move Every Hour Score;Meet Daily Targets Score;Training Frequency Score;Training Volume Score;Activity Burn;Total Burn;Steps;Equivalent Walking Distance;Inactive Time;Rest Time;Low Activity Time;Medium Activity Time;High Activity Time;Non-wear Time;Average MET;Long Periods of Inactivity;Readiness Score;Previous Night Score;Sleep Balance Score;Previous Day Activity Score;Activity Balance Score;Temperature Score;Resting Heart Rate Score;HRV Balance Score;Recovery Index Score
20/01/2023;3636;FP;64;53;47;98;53;73;78;73;20370;28140;7770;3480;9600;7290;33;72;420;12090;20/01/2023 00:30;20/01/2023 08:19;6323;59;31;-21;-1;1575;87;74;100;100;100;100;399;1960;11650;10109;32100;27600;14040;4860;120;7680;153125;0;70;45;51;69;67;98;84;95;100
21/01/2023;3614;FP;61;52;63;49;74;63;70;77;20130;24960;4830;4680;12540;2910;32;81;240;12150;21/01/2023 00:22;21/01/2023 07:18;6606;59;25;-2;-13;1575;75;76;100;100;100;100;380;1945;10694;9759;31800;26940;18960;3480;60;5160;153125;0;62;38;47;80;64;98;84;92;42
22/01/2023;364;FP;53;35;49;81;74;79;72;18;15840;19560;3720;3630;7410;4800;26;81;300;9180;22/01/2023 03:35;22/01/2023 09:01;6702;61;20;2;-3;15625;80;59;100;100;100;100;236;1759;5435;5806;39480;33900;9180;3240;0;600;1375;0;53;17;36;83;63;100;66;87;36
23/01/2023;361;FP;78;76;96;98;74;66;67;78;26310;32460;6150;7170;11220;7920;30;81;180;14820;22/01/2023 23:35;23/01/2023 08:36;6438;58;25;-15;-1;155;94;63;100;100;100;99;259;1775;7609;6406;38880;33300;10320;3540;0;360;1375;0;75;80;43;87;68;100;94;87;100
25/01/2023;368;O;76;63;86;94;86;66;75;98;22920;26580;3660;6300;11070;5550;30;86;390;12240;24/01/2023 23:38;25/01/2023 07:01;6772;60;22;18;9;15625;93;65;100;95;100;97;423;2004;11684;10058;37560;26820;16860;4620;240;300;15625;0;70;75;45;;80;90;76;81;85
26/01/2023;364;LP;71;54;73;82;83;75;89;83;20640;24420;3780;5370;10410;4860;24;85;690;11730;26/01/2023 00:17;26/01/2023 07:04;6839;61;21;22;2;155;96;83;100;95;100;96;328;1938;8598;7550;29100;24900;23700;1620;120;6960;15;0;57;63;42;73;76;86;68;73;12
30/01/2023;3644;M;75;66;80;94;72;67;75;100;23670;29640;5970;5880;12210;5580;32;80;360;13740;29/01/2023 22:31;30/01/2023 06:45;6546;60;24;8;23;16125;64;58;95;43;40;39;175;1701;5129;4257;40200;28860;13140;1020;0;3180;13125;1;82;73;;;;98;78;;100
31/01/2023;3634;M;78;67;93;95;76;68;86;96;24000;29340;5340;6750;11310;5940;27;82;630;15660;30/01/2023 22:46;31/01/2023 06:55;6676;59;22;21;24;16;76;65;100;60;71;59;308;1875;8660;7736;34380;15420;13920;3900;0;18780;146875;0;77;80;;90;;87;86;;48
02/02/2023;3635;M;81;81;88;97;69;66;78;100;27420;34740;7320;6450;13740;7230;32;79;450;15660;01/02/2023 22:23;02/02/2023 08:02;6365;58;24;2;2;15375;63;58;100;25;40;57;215;1741;6564;5282;40560;31980;11760;2100;0;0;134375;0;81;88;66;;89;100;95;68;100
03/02/2023;3646;M;77;76;93;95;51;68;72;88;26310;37080;10770;6840;13620;5850;33;71;300;18270;02/02/2023 22:17;03/02/2023 08:35;6201;55;27;25;24;15625;61;56;100;25;40;50;12;1345;334;184;3480;16500;1080;60;0;0;1125;0;84;78;72;87;91;83;98;76;100
